code,date,decision,ALDnBS
510880.SS,2010-11-17A,Empty,
510880.SS,2010-11-17C,Empty,
510880.SS,2010-11-18A,Empty,
510880.SS,2010-11-18C,Empty,
510880.SS,2010-11-19A,Empty,
510880.SS,2010-11-19C,Empty,
510880.SS,2010-11-22A,Empty,
510880.SS,2010-11-22C,Empty,
510880.SS,2010-11-23A,Empty,
510880.SS,2010-11-23C,Empty,
510880.SS,2010-11-24A,Empty,
510880.SS,2010-11-24C,Empty,
510880.SS,2010-11-25A,Empty,
510880.SS,2010-11-25C,Empty,
510880.SS,2010-11-26A,Empty,
510880.SS,2010-11-26C,Empty,
510880.SS,2010-11-29A,Empty,
510880.SS,2010-11-29C,Empty,
510880.SS,2010-11-30A,Empty,
510880.SS,2010-11-30C,Empty,
510880.SS,2010-12-01A,Empty,
510880.SS,2010-12-01C,Empty,
510880.SS,2010-12-02A,Empty,
510880.SS,2010-12-02C,Empty,
510880.SS,2010-12-03A,Empty,
510880.SS,2010-12-03C,Empty,
510880.SS,2010-12-06A,Empty,
510880.SS,2010-12-06C,Empty,
510880.SS,2010-12-07A,Empty,
510880.SS,2010-12-07C,Long,
510880.SS,2010-12-08A,Long,
510880.SS,2010-12-08C,Empty,
510880.SS,2010-12-09A,Empty,
510880.SS,2010-12-09C,Empty,
510880.SS,2010-12-10A,Empty,
510880.SS,2010-12-10C,Empty,
510880.SS,2010-12-13A,Empty,
510880.SS,2010-12-13C,Long,
510880.SS,2010-12-14A,Long,
510880.SS,2010-12-14C,Long,
510880.SS,2010-12-15A,Long,
510880.SS,2010-12-15C,Long,
510880.SS,2010-12-16A,Long,
510880.SS,2010-12-16C,Long,
510880.SS,2010-12-17A,Long,
510880.SS,2010-12-17C,Long,
510880.SS,2010-12-20A,Long,
510880.SS,2010-12-20C,Empty,
510880.SS,2010-12-21A,Empty,
510880.SS,2010-12-21C,Long,
510880.SS,2010-12-22A,Long,
510880.SS,2010-12-22C,Long,
510880.SS,2010-12-23A,Long,
510880.SS,2010-12-23C,Long,
510880.SS,2010-12-24A,Empty,
510880.SS,2010-12-24C,Empty,
510880.SS,2010-12-27A,Empty,
510880.SS,2010-12-27C,Empty,
510880.SS,2010-12-28A,Empty,
510880.SS,2010-12-28C,Empty,
510880.SS,2010-12-29A,Empty,
510880.SS,2010-12-29C,Empty,
510880.SS,2010-12-30A,Empty,
510880.SS,2010-12-30C,Empty,
510880.SS,2010-12-31A,Empty,
510880.SS,2010-12-31C,Empty,
510880.SS,2011-01-04A,Empty,
510880.SS,2011-01-04C,Long,
510880.SS,2011-01-05A,Long,
510880.SS,2011-01-05C,Long,
510880.SS,2011-01-06A,Long,
510880.SS,2011-01-06C,Long,
510880.SS,2011-01-07A,Long,
510880.SS,2011-01-07C,Long,
510880.SS,2011-01-10A,Long,
510880.SS,2011-01-10C,Empty,
510880.SS,2011-01-11A,Empty,
510880.SS,2011-01-11C,Long,
510880.SS,2011-01-12A,Long,
510880.SS,2011-01-12C,Long,
510880.SS,2011-01-13A,Long,
510880.SS,2011-01-13C,Long,
510880.SS,2011-01-14A,Long,
510880.SS,2011-01-14C,Empty,
510880.SS,2011-01-17A,Empty,
510880.SS,2011-01-17C,Empty,
510880.SS,2011-01-18A,Empty,
510880.SS,2011-01-18C,Empty,
510880.SS,2011-01-19A,Empty,
510880.SS,2011-01-19C,Empty,
510880.SS,2011-01-20A,Empty,
510880.SS,2011-01-20C,Empty,
510880.SS,2011-01-21A,Empty,
510880.SS,2011-01-21C,Empty,
510880.SS,2011-01-24A,Empty,
510880.SS,2011-01-24C,Empty,
510880.SS,2011-01-25A,Empty,
510880.SS,2011-01-25C,Empty,
510880.SS,2011-01-26A,Empty,
510880.SS,2011-01-26C,Empty,
510880.SS,2011-01-27A,Empty,
510880.SS,2011-01-27C,Long,
510880.SS,2011-01-28A,Long,
510880.SS,2011-01-28C,Long,
510880.SS,2011-01-31A,Long,
510880.SS,2011-01-31C,Long,
510880.SS,2011-02-01A,Long,
510880.SS,2011-02-01C,Long,
510880.SS,2011-02-09A,Long,
510880.SS,2011-02-09C,Long,
510880.SS,2011-02-10A,Long,
510880.SS,2011-02-10C,Long,
510880.SS,2011-02-11A,Long,
510880.SS,2011-02-11C,Long,
510880.SS,2011-02-14A,Long,
510880.SS,2011-02-14C,Long,
510880.SS,2011-02-15A,Long,
510880.SS,2011-02-15C,Long,
510880.SS,2011-02-16A,Long,
510880.SS,2011-02-16C,Long,
510880.SS,2011-02-17A,Long,
510880.SS,2011-02-17C,Long,
510880.SS,2011-02-18A,Long,
510880.SS,2011-02-18C,Long,
510880.SS,2011-02-21A,Long,
510880.SS,2011-02-21C,Long,
510880.SS,2011-02-22A,Long,
510880.SS,2011-02-22C,Empty,
510880.SS,2011-02-23A,Empty,
510880.SS,2011-02-23C,Empty,
510880.SS,2011-02-24A,Empty,
510880.SS,2011-02-24C,Empty,
510880.SS,2011-02-25A,Long,
510880.SS,2011-02-25C,Long,
510880.SS,2011-02-28A,Long,
510880.SS,2011-02-28C,Long,
510880.SS,2011-03-01A,Long,
510880.SS,2011-03-01C,Long,
510880.SS,2011-03-02A,Long,
510880.SS,2011-03-02C,Long,
510880.SS,2011-03-03A,Long,
510880.SS,2011-03-03C,Long,
510880.SS,2011-03-04A,Long,
510880.SS,2011-03-04C,Long,
510880.SS,2011-03-07A,Long,
510880.SS,2011-03-07C,Long,
510880.SS,2011-03-08A,Long,
510880.SS,2011-03-08C,Long,
510880.SS,2011-03-09A,Long,
510880.SS,2011-03-09C,Long,
510880.SS,2011-03-10A,Long,
510880.SS,2011-03-10C,Empty,
510880.SS,2011-03-11A,Empty,
510880.SS,2011-03-11C,Empty,
510880.SS,2011-03-14A,Empty,
510880.SS,2011-03-14C,Empty,
510880.SS,2011-03-15A,Empty,
510880.SS,2011-03-15C,Empty,
510880.SS,2011-03-16A,Empty,
510880.SS,2011-03-16C,Empty,
510880.SS,2011-03-17A,Empty,
510880.SS,2011-03-17C,Empty,
510880.SS,2011-03-18A,Empty,
510880.SS,2011-03-18C,Empty,
510880.SS,2011-03-21A,Empty,
510880.SS,2011-03-21C,Empty,
510880.SS,2011-03-22A,Empty,
510880.SS,2011-03-22C,Empty,
510880.SS,2011-03-23A,Empty,
510880.SS,2011-03-23C,Long,
510880.SS,2011-03-24A,Long,
510880.SS,2011-03-24C,Long,
510880.SS,2011-03-25A,Long,
510880.SS,2011-03-25C,Long,
510880.SS,2011-03-28A,Long,
510880.SS,2011-03-28C,Long,
510880.SS,2011-03-29A,Long,
510880.SS,2011-03-29C,Long,
510880.SS,2011-03-30A,Long,
510880.SS,2011-03-30C,Long,
510880.SS,2011-03-31A,Long,
510880.SS,2011-03-31C,Empty,
510880.SS,2011-04-01A,Empty,
510880.SS,2011-04-01C,Long,
510880.SS,2011-04-06A,Long,
510880.SS,2011-04-06C,Long,
510880.SS,2011-04-07A,Long,
510880.SS,2011-04-07C,Long,
510880.SS,2011-04-08A,Long,
510880.SS,2011-04-08C,Long,
510880.SS,2011-04-11A,Long,
510880.SS,2011-04-11C,Long,
510880.SS,2011-04-12A,Long,
510880.SS,2011-04-12C,Long,
510880.SS,2011-04-13A,Long,
510880.SS,2011-04-13C,Long,
510880.SS,2011-04-14A,Long,
510880.SS,2011-04-14C,Long,
510880.SS,2011-04-15A,Long,
510880.SS,2011-04-15C,Long,
510880.SS,2011-04-18A,Long,
510880.SS,2011-04-18C,Long,
510880.SS,2011-04-19A,Long,
510880.SS,2011-04-19C,Empty,
510880.SS,2011-04-20A,Empty,
510880.SS,2011-04-20C,Empty,
510880.SS,2011-04-21A,Empty,
510880.SS,2011-04-21C,Empty,
510880.SS,2011-04-22A,Empty,
510880.SS,2011-04-22C,Empty,
510880.SS,2011-04-25A,Empty,
510880.SS,2011-04-25C,Empty,
510880.SS,2011-04-26A,Empty,
510880.SS,2011-04-26C,Empty,
510880.SS,2011-04-27A,Empty,
510880.SS,2011-04-27C,Empty,
510880.SS,2011-04-28A,Empty,
510880.SS,2011-04-28C,Empty,
510880.SS,2011-04-29A,Empty,
510880.SS,2011-04-29C,Empty,
